SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/4/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/5/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/6/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/7/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/8/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/9/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/10/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/11/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/12/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/13/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/14/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/15/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/16/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/17/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/18/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/19/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/20/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/21/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/22/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/23/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/24/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/25/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/26/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/27/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/28/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/29/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/30/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.032256","1.156056"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/31/2024","e07fca8f-2362-4b83-99c2-05adfa84adbd","Storage","Standard SSD Managed Disks","BR South","E15 LRS Disk","0.017472","0.626197"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","9/30/2024","0ddb5c81-143d-52f8-9ea3-29b64cc0ef97","Backup","All","US East","GRS Data Stored","2.548416","0.114168"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/1/2024","0ddb5c81-143d-52f8-9ea3-29b64cc0ef97","Backup","All","US East","GRS Data Stored","2.548416","0.114168"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/2/2024","0ddb5c81-143d-52f8-9ea3-29b64cc0ef97","Backup","All","US East","GRS Data Stored","2.548416","0.114168"
"Microsoft Azure Sponsorship","82375e17-0dda-4790-b6e8-c565d4f08e87","10/3/2024","0ddb5c81-143d-52f8-9ea3-29b64cc0ef97","Backup","All","US East","GRS Data Stored","2.548416","0.114168"
